"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","covar_covered","has_converged","Error"
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:31 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,10,NA,23,-31644.03,63334.06,63447.167,63374.117,63335.1796754564,"b1_female_a_grip_categories_10.out"," radcMAP_wide.dat",11.384,2.928,3.888,0,0.105,0.059,1.77,0.077,1.137,0.533,2.134,0.033,0.067,0.365,0.184,0.854,1.421,0.457,3.11,0.002,107.124,6.345,16.882,0,0.418,0.106,3.938,0,-2.356,0.722,-3.265,0.001,21.889,0.935,23.402,0,52.986,3.499,15.144,0,0.598,0.094,6.391,0,0.218,0.526,0.416,0.678,23.384,1.276,18.326,0,47.382,0.616,76.981,0,-1.048,0.081,-12.867,0,38.161,0.411,92.879,0,-0.138,0.059,-2.35,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:31 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,11,NA,23,-32356.701,64759.402,64872.51,64799.46,64760.5216754564,"b1_female_a_grip_categories_11.out"," radcMAP_wide.dat",11.657,2.918,3.995,0,0.093,0.051,1.816,0.069,1.03,0.51,2.021,0.043,0.063,0.336,0.188,0.851,1.345,0.448,3.003,0.003,106.575,6.239,17.082,0,0.331,0.074,4.504,0,-2.141,0.611,-3.503,0,22.043,1.027,21.471,0,53.622,3.531,15.186,0,0.567,0.09,6.334,0,0.097,0.526,0.185,0.853,23.444,1.279,18.327,0,47.33,0.613,77.227,0,-1.02,0.075,-13.616,0,38.181,0.412,92.61,0,-0.146,0.057,-2.576,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:32 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,12,NA,23,-32746.91,65539.82,65652.927,65579.877,65540.9396754564,"b1_female_a_grip_categories_12.out"," radcMAP_wide.dat",11.575,2.907,3.982,0,0.073,0.046,1.573,0.116,1.098,0.501,2.19,0.029,0.077,0.322,0.239,0.811,1.553,0.447,3.472,0.001,106.485,6.215,17.134,0,0.304,0.07,4.318,0,-2.08,0.583,-3.568,0,22.193,1.134,19.57,0,53.959,3.541,15.237,0,0.563,0.09,6.231,0,0.014,0.523,0.026,0.979,23.631,1.263,18.714,0,47.353,0.611,77.54,0,-1.031,0.072,-14.323,0,38.227,0.415,92.201,0,-0.167,0.058,-2.889,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:33 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,13,NA,23,-32946.718,65939.436,66052.543,65979.494,65940.5556754564,"b1_female_a_grip_categories_13.out"," radcMAP_wide.dat",11.981,2.927,4.093,0,0.067,0.046,1.454,0.146,1.052,0.496,2.12,0.034,-0.059,0.323,-0.183,0.855,1.703,0.453,3.763,0,107.611,6.248,17.222,0,0.321,0.07,4.609,0,-2.363,0.577,-4.092,0,22.322,1.136,19.641,0,54.188,3.529,15.354,0,0.563,0.089,6.301,0,-0.053,0.514,-0.103,0.918,23.814,1.258,18.926,0,47.403,0.612,77.457,0,-1.05,0.072,-14.602,0,38.251,0.416,92.034,0,-0.177,0.058,-3.05,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:34 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,14,NA,23,-33106.964,66259.928,66373.035,66299.985,66261.0476754564,"b1_female_a_grip_categories_14.out"," radcMAP_wide.dat",12.477,2.954,4.224,0,0.075,0.046,1.614,0.106,0.952,0.498,1.911,0.056,-0.179,0.334,-0.536,0.592,1.682,0.45,3.737,0,108.067,6.26,17.262,0,0.339,0.07,4.84,0,-2.464,0.574,-4.291,0,22.286,1.132,19.696,0,54.366,3.525,15.425,0,0.565,0.089,6.354,0,-0.094,0.508,-0.185,0.853,23.839,1.252,19.042,0,47.424,0.612,77.473,0,-1.056,0.072,-14.704,0,38.258,0.416,91.959,0,-0.179,0.058,-3.075,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:35 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,15,NA,23,-33224.252,66494.504,66607.611,66534.561,66495.6236754564,"b1_female_a_grip_categories_15.out"," radcMAP_wide.dat",12.507,2.955,4.233,0,0.071,0.046,1.543,0.123,0.881,0.503,1.752,0.08,-0.119,0.312,-0.38,0.704,1.701,0.457,3.718,0,107.53,6.201,17.341,0,0.312,0.066,4.759,0,-2.329,0.556,-4.192,0,22.411,1.12,20.004,0,54.508,3.511,15.523,0,0.569,0.088,6.494,0,-0.136,0.503,-0.271,0.787,23.94,1.249,19.161,0,47.409,0.611,77.537,0,-1.053,0.071,-14.792,0,38.266,0.416,91.929,0,-0.181,0.058,-3.114,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:36 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,16,NA,23,-33306.682,66659.364,66772.471,66699.421,66660.4836754564,"b1_female_a_grip_categories_16.out"," radcMAP_wide.dat",12.724,2.982,4.267,0,0.079,0.046,1.722,0.085,0.784,0.505,1.553,0.12,-0.117,0.306,-0.383,0.702,1.633,0.455,3.586,0,107.571,6.196,17.362,0,0.305,0.064,4.743,0,-2.32,0.548,-4.238,0,22.383,1.118,20.021,0,54.777,3.513,15.593,0,0.565,0.087,6.467,0,-0.185,0.496,-0.373,0.71,24.065,1.255,19.182,0,47.403,0.611,77.541,0,-1.051,0.071,-14.808,0,38.281,0.417,91.828,0,-0.185,0.058,-3.182,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:38 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,17,NA,23,-33319.546,66685.092,66798.2,66725.15,66686.2116754564,"b1_female_a_grip_categories_17.out"," radcMAP_wide.dat",12.739,2.983,4.271,0,0.079,0.046,1.727,0.084,0.783,0.505,1.551,0.121,-0.121,0.307,-0.394,0.693,1.63,0.455,3.579,0,107.619,6.196,17.37,0,0.307,0.064,4.779,0,-2.332,0.547,-4.261,0,22.367,1.117,20.021,0,54.8,3.512,15.604,0,0.566,0.087,6.488,0,-0.191,0.496,-0.385,0.7,24.071,1.254,19.194,0,47.403,0.611,77.535,0,-1.05,0.071,-14.799,0,38.283,0.417,91.824,0,-0.186,0.058,-3.196,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/01/2015"," 8:40 PM","RADC","b1","female","a",NA,NA,"grip","categories",TRUE,1010,4,NA,23,-21788.91,43623.82,43736.928,43663.878,43624.9396754564,"b1_female_a_grip_categories_4.out"," radcMAP_wide.dat",11.02,3.106,3.548,0,0.044,0.274,0.161,0.872,1.952,1.094,1.784,0.074,-0.412,0.941,-0.437,0.662,1.044,0.671,1.556,0.12,108.411,6.765,16.024,0,0.882,0.485,1.817,0.069,-3.476,1.364,-2.549,0.011,20.272,1.186,17.095,0,52.79,3.507,15.052,0,1.55,0.507,3.059,0.002,0.04,0.889,0.045,0.964,20.493,0.832,24.642,0,47.268,0.636,74.31,0,-0.923,0.168,-5.48,0,37.91,0.432,87.667,0,0.084,0.133,0.631,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,NA
