"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:18 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,10,NA,21,-16267.444,32576.889,32679.116,32612.421,32577.8730255591,"b1_female_a_fev_categories_10.out"," radcMAP_wide.dat",0.781,0.106,7.338,0,0,0.002,-0.156,0.876,0.035,0.02,1.793,0.073,-0.033,0.014,-2.408,0.016,-0.018,0.017,-1.086,0.277,0.134,0.008,17.042,0,0,0,3.633,0,-0.002,0.001,-2.983,0.003,0.027,0.004,7.07,0,53.083,3.485,15.23,0,0.591,0.093,6.35,0,0.218,0.519,0.42,0.674,23.387,1.281,18.255,0,1.733,0.021,82.496,0,-0.032,0.002,-13.02,0,38.149,0.41,92.938,0,-0.125,0.058,-2.153,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:19 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,11,NA,21,-16781.029,33604.057,33706.285,33639.589,33605.0410255591,"b1_female_a_fev_categories_11.out"," radcMAP_wide.dat",0.794,0.107,7.413,0,-0.001,0.002,-0.352,0.725,0.032,0.019,1.697,0.09,-0.036,0.013,-2.8,0.005,-0.024,0.019,-1.268,0.205,0.133,0.008,17.413,0,0,0,3.456,0.001,-0.002,0.001,-3.212,0.001,0.031,0.005,6.696,0,53.713,3.517,15.273,0,0.561,0.09,6.261,0,0.098,0.519,0.189,0.85,23.45,1.284,18.267,0,1.732,0.021,83.598,0,-0.031,0.002,-14.43,0,38.17,0.412,92.71,0,-0.134,0.056,-2.399,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:21 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,12,NA,21,-17006.673,34055.346,34157.573,34090.878,34056.3300255591,"b1_female_a_fev_categories_12.out"," radcMAP_wide.dat",0.798,0.107,7.455,0,0,0.002,-0.12,0.904,0.027,0.019,1.469,0.142,-0.033,0.012,-2.764,0.006,-0.025,0.018,-1.339,0.181,0.133,0.008,17.509,0,0,0,3.392,0.001,-0.002,0.001,-3.218,0.001,0.031,0.004,6.808,0,54.049,3.528,15.318,0,0.558,0.091,6.161,0,0.014,0.517,0.027,0.979,23.632,1.267,18.658,0,1.732,0.021,83.771,0,-0.032,0.002,-14.926,0,38.212,0.414,92.295,0,-0.153,0.057,-2.691,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:23 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,13,NA,21,-17119.918,34281.836,34384.063,34317.368,34282.8200255591,"b1_female_a_fev_categories_13.out"," radcMAP_wide.dat",0.8,0.107,7.47,0,0,0.002,-0.199,0.842,0.027,0.018,1.485,0.137,-0.034,0.012,-2.941,0.003,-0.02,0.019,-1.053,0.293,0.132,0.008,17.545,0,0,0,3.43,0.001,-0.002,0.001,-3.134,0.002,0.031,0.004,6.856,0,54.269,3.516,15.436,0,0.558,0.09,6.23,0,-0.048,0.508,-0.095,0.925,23.816,1.262,18.874,0,1.733,0.021,83.956,0,-0.032,0.002,-15.034,0,38.237,0.415,92.148,0,-0.163,0.057,-2.862,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:25 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,14,NA,21,-17198.243,34438.485,34540.713,34474.017,34439.4690255591,"b1_female_a_fev_categories_14.out"," radcMAP_wide.dat",0.795,0.107,7.413,0,0,0.002,0.019,0.985,0.026,0.018,1.403,0.161,-0.032,0.011,-2.811,0.005,-0.019,0.019,-1.015,0.31,0.132,0.008,17.616,0,0,0,3.3,0.001,-0.002,0.001,-3.156,0.002,0.031,0.004,6.898,0,54.454,3.51,15.514,0,0.559,0.089,6.277,0,-0.088,0.501,-0.176,0.861,23.843,1.255,19.002,0,1.733,0.021,83.98,0,-0.032,0.002,-15.364,0,38.246,0.415,92.069,0,-0.166,0.057,-2.929,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"     Parameter 23, R_SPSC",TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:28 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,15,NA,21,-17262.03,34566.06,34668.287,34601.592,34567.0440255591,"b1_female_a_fev_categories_15.out"," radcMAP_wide.dat",0.796,0.108,7.38,0,0,0.002,0.241,0.809,0.023,0.018,1.246,0.213,-0.03,0.011,-2.755,0.006,-0.017,0.019,-0.904,0.366,0.133,0.008,17.691,0,0,0,3.237,0.001,-0.002,0.001,-3.301,0.001,0.031,0.004,6.925,0,54.591,3.499,15.603,0,0.563,0.088,6.411,0,-0.128,0.498,-0.258,0.797,23.947,1.251,19.139,0,1.732,0.021,83.923,0,-0.032,0.002,-15.478,0,38.255,0.416,92.034,0,-0.169,0.057,-2.977,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:31 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,16,NA,21,-17308.263,34658.526,34760.753,34694.058,34659.5100255591,"b1_female_a_fev_categories_16.out"," radcMAP_wide.dat",0.791,0.108,7.317,0,0,0.002,0.241,0.809,0.023,0.018,1.272,0.203,-0.029,0.011,-2.647,0.008,-0.018,0.019,-0.952,0.341,0.133,0.007,17.728,0,0,0,3.214,0.001,-0.002,0.001,-3.312,0.001,0.031,0.004,6.93,0,54.868,3.5,15.675,0,0.557,0.087,6.378,0,-0.176,0.491,-0.359,0.72,24.073,1.256,19.167,0,1.732,0.021,83.918,0,-0.032,0.002,-15.494,0,38.272,0.416,91.911,0,-0.175,0.057,-3.079,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:37 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,17,NA,21,-17314.637,34671.273,34773.501,34706.805,34672.2570255591,"b1_female_a_fev_categories_17.out"," radcMAP_wide.dat",0.791,0.108,7.322,0,0,0.002,0.25,0.802,0.024,0.018,1.275,0.202,-0.029,0.011,-2.663,0.008,-0.018,0.019,-0.953,0.341,0.133,0.007,17.724,0,0,0,3.248,0.001,-0.002,0.001,-3.304,0.001,0.031,0.004,6.932,0,54.891,3.5,15.685,0,0.558,0.087,6.398,0,-0.182,0.491,-0.37,0.711,24.079,1.256,19.179,0,1.732,0.021,83.925,0,-0.032,0.002,-15.494,0,38.275,0.416,91.905,0,-0.176,0.057,-3.094,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:44 AM","RADC","b1","female","a",NA,NA,"fev","categories",1,961,4,NA,21,-10302.617,20647.234,20749.461,20682.766,20648.2180255591,"b1_female_a_fev_categories_4.out"," radcMAP_wide.dat",0.85,0.117,7.291,0,-0.008,0.011,-0.802,0.422,0.011,0.043,0.259,0.796,-0.01,0.034,-0.298,0.766,-0.001,0.021,-0.062,0.951,0.131,0.008,16.084,0,0.001,0.001,0.934,0.351,-0.002,0.002,-1.404,0.16,0.026,0.004,5.848,0,52.824,3.506,15.065,0,1.542,0.503,3.067,0.002,0.029,0.896,0.032,0.975,20.495,0.833,24.609,0,1.74,0.021,81.903,0,-0.041,0.006,-6.939,0,37.902,0.432,87.696,0,0.092,0.133,0.691,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"     Parameter 24, R_RES_PC",TRUE,0,NA
