"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:53 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,10,NA,21,-15939.309,31920.619,32022.803,31956.107,31921.6051259338,"b1_female_a_fev_digitsymbols_10.out"," radcMAP_wide.dat",0.871,0.13,6.7,0,0,0.002,-0.032,0.974,0.031,0.017,1.789,0.074,-0.045,0.018,-2.508,0.012,0.008,0.023,0.354,0.723,0.134,0.008,17.115,0,0,0,3.734,0,-0.002,0.001,-3.107,0.002,0.027,0.004,7.081,0,81.618,4.96,16.457,0,0.455,0.084,5.436,0,1.431,0.474,3.017,0.003,24.804,1.092,22.704,0,1.733,0.021,82.377,0,-0.032,0.002,-13.183,0,42.682,0.515,82.9,0,-0.162,0.062,-2.621,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:54 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,11,NA,21,-16428.15,32898.3,33000.483,32933.788,32899.2861259338,"b1_female_a_fev_digitsymbols_11.out"," radcMAP_wide.dat",0.878,0.129,6.802,0,0.001,0.002,0.438,0.662,0.025,0.016,1.543,0.123,-0.044,0.017,-2.545,0.011,0.001,0.025,0.036,0.971,0.133,0.008,17.457,0,0,0,3.501,0,-0.002,0.001,-3.318,0.001,0.031,0.005,6.698,0,81.653,4.941,16.527,0,0.414,0.076,5.43,0,1.455,0.456,3.188,0.001,25.116,1.12,22.434,0,1.732,0.021,83.473,0,-0.031,0.002,-14.553,0,42.743,0.515,82.937,0,-0.193,0.059,-3.287,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:56 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,12,NA,21,-16623.564,33289.128,33391.312,33324.617,33290.1141259338,"b1_female_a_fev_digitsymbols_12.out"," radcMAP_wide.dat",0.886,0.129,6.866,0,0.001,0.002,0.909,0.363,0.02,0.016,1.211,0.226,-0.044,0.017,-2.578,0.01,0,0.024,-0.006,0.995,0.133,0.008,17.547,0,0,0,3.416,0.001,-0.002,0.001,-3.326,0.001,0.031,0.004,6.81,0,81.843,4.94,16.569,0,0.416,0.074,5.59,0,1.401,0.452,3.098,0.002,25.238,1.108,22.782,0,1.732,0.021,83.636,0,-0.031,0.002,-14.955,0,42.78,0.516,82.911,0,-0.21,0.059,-3.583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 3:57 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,13,NA,21,-16710.668,33463.335,33565.519,33498.824,33464.3211259338,"b1_female_a_fev_digitsymbols_13.out"," radcMAP_wide.dat",0.881,0.13,6.793,0,0.002,0.002,1.115,0.265,0.018,0.016,1.099,0.272,-0.039,0.017,-2.349,0.019,-0.001,0.024,-0.036,0.971,0.132,0.008,17.591,0,0,0,3.416,0.001,-0.002,0.001,-3.193,0.001,0.031,0.004,6.851,0,81.877,4.932,16.6,0,0.406,0.074,5.497,0,1.394,0.449,3.105,0.002,25.375,1.124,22.575,0,1.733,0.021,83.846,0,-0.032,0.002,-15.155,0,42.793,0.516,82.89,0,-0.216,0.059,-3.693,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:00 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,14,NA,21,-16766.029,33574.059,33676.243,33609.547,33575.0451259338,"b1_female_a_fev_digitsymbols_14.out"," radcMAP_wide.dat",0.884,0.13,6.823,0,0.002,0.001,1.304,0.192,0.017,0.016,1.035,0.301,-0.04,0.016,-2.449,0.014,-0.001,0.024,-0.04,0.968,0.133,0.008,17.657,0,0,0,3.305,0.001,-0.002,0.001,-3.248,0.001,0.031,0.004,6.896,0,81.978,4.932,16.623,0,0.403,0.073,5.513,0,1.372,0.446,3.077,0.002,25.416,1.121,22.668,0,1.733,0.021,83.859,0,-0.032,0.002,-15.451,0,42.809,0.517,82.876,0,-0.223,0.059,-3.817,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:03 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,15,NA,21,-16816.893,33675.786,33777.97,33711.274,33676.7721259338,"b1_female_a_fev_digitsymbols_15.out"," radcMAP_wide.dat",0.882,0.13,6.81,0,0.002,0.001,1.29,0.197,0.016,0.016,0.994,0.32,-0.039,0.016,-2.38,0.017,0.002,0.024,0.076,0.939,0.133,0.008,17.724,0,0,0,3.252,0.001,-0.002,0.001,-3.408,0.001,0.031,0.004,6.924,0,81.835,4.934,16.586,0,0.393,0.073,5.367,0,1.417,0.446,3.179,0.001,25.501,1.123,22.716,0,1.733,0.021,83.782,0,-0.032,0.002,-15.541,0,42.818,0.516,82.924,0,-0.227,0.058,-3.899,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:06 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,16,NA,21,-16846.302,33734.604,33836.788,33770.093,33735.5901259338,"b1_female_a_fev_digitsymbols_16.out"," radcMAP_wide.dat",0.884,0.129,6.846,0,0.002,0.001,1.344,0.179,0.016,0.016,0.97,0.332,-0.04,0.016,-2.461,0.014,0.002,0.024,0.067,0.947,0.133,0.007,17.756,0,0,0,3.231,0.001,-0.002,0.001,-3.433,0.001,0.031,0.004,6.929,0,81.886,4.933,16.6,0,0.394,0.073,5.391,0,1.406,0.445,3.161,0.002,25.5,1.12,22.777,0,1.732,0.021,83.768,0,-0.032,0.002,-15.548,0,42.82,0.516,82.938,0,-0.228,0.058,-3.907,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:11 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,17,NA,21,-16851.273,33744.547,33846.731,33780.035,33745.5331259338,"b1_female_a_fev_digitsymbols_17.out"," radcMAP_wide.dat",0.885,0.129,6.854,0,0.002,0.001,1.395,0.163,0.016,0.016,0.964,0.335,-0.04,0.016,-2.486,0.013,0.002,0.024,0.063,0.95,0.133,0.007,17.752,0,0,0,3.256,0.001,-0.002,0.001,-3.424,0.001,0.031,0.004,6.93,0,81.917,4.933,16.605,0,0.395,0.073,5.409,0,1.399,0.445,3.147,0.002,25.49,1.119,22.776,0,1.732,0.021,83.777,0,-0.032,0.002,-15.547,0,42.821,0.516,82.934,0,-0.228,0.058,-3.913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:17 AM","RADC","b1","female","a",NA,NA,"fev","digitsymbols",1,959,4,NA,21,-10364.538,20771.076,20873.26,20806.564,20772.0621259338,"b1_female_a_fev_digitsymbols_4.out"," radcMAP_wide.dat",0.963,0.136,7.077,0,-0.003,0.012,-0.217,0.828,-0.003,0.043,-0.079,0.937,-0.043,0.041,-1.043,0.297,0.005,0.03,0.175,0.861,0.131,0.008,16.111,0,0.001,0.001,0.942,0.346,-0.002,0.002,-1.429,0.153,0.026,0.005,5.812,0,80.808,5.211,15.507,0,1.762,0.552,3.192,0.001,0.962,1.235,0.779,0.436,22.856,1.464,15.607,0,1.74,0.021,81.736,0,-0.041,0.006,-7.026,0,42.196,0.529,79.82,0,0.21,0.146,1.435,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
